ID,diet_treatment,full_mass,extraction_run,subsample_mass,concentration,total_extracted
101,LOW,15.3,2,2.13,76.7342008,163.3671135
102,LOW,21.7,1,3.40,78.4908964,266.4765933
103,LOW,29.1,1,3.78,55.5851656,209.8895853
104,LOW,18.5,1,3.25,76.8234952,249.5227124
105,LOW,21.6,1,3.32,71.2391608,236.7277313
106,LOW,17.2,1,3.29,81.6591304,268.5768799
107,LOW,22.1,1,3.34,72.3021076,241.7059457
108,LOW,15.6,1,3.31,73.507582,243.1630813
109,LOW,25.3,1,3.63,52.0322788,188.7210752
110,LOW,14.4,1,3.15,67.4407144,212.6405725
111,LOW,23.4,1,3.78,69.6919636,263.3659304
112,LOW,30,1,3.79,55.4306176,210.1374713
113,LOW,18.4,1,3.22,58.5456184,188.2241632
115,LOW,16.8,1,3.40,67.4647552,229.3801677
116,LOW,12.9,1,1.65,90.3498796,149.0773013
118,LOW,16.1,1,3.51,75.370744,264.5513114
119,LOW,15.5,1,3.26,83.8485604,273.514004
120,LOW,18.7,1,3.22,67.317076,216.8283018
121,LOW,21.6,2,3.31,73.6981912,243.7199183
122,LOW,13.2,2,3.46,79.3529308,274.5611406
123,LOW,22.9,2,3.15,64.4545036,203.2895044
124,LOW,29.6,2,3.32,53.8679656,178.6800419
125,LOW,19.3,2,3.59,52.987042,190.2764678
126,LOW,24.4,2,3.54,49.1731408,173.9745722
127,LOW,21.8,2,3.59,48.07585,172.3519223
128,LOW,16.8,3,3.80,73.6732918,279.9585088
129,LOW,28.2,3,3.68,64.6614262,237.6954027
130,LOW,14.8,3,3.66,71.1558766,260.074729
132,LOW,20.9,3,3.16,65.7527068,207.8443062
133,LOW,17.2,2,3.53,53.381998,188.171543
134,LOW,18.2,3,3.57,69.102964,246.9739933
136,LOW,21.8,3,3.45,42.2562592,145.6995817
137,LOW,17.8,3,3.90,79.8509188,311.0991796
138,LOW,23.4,3,3.64,55.0528336,200.4473671
140,LOW,22.2,3,3.66,57.825253,211.3512997
142,LOW,15.3,3,3.59,67.0749508,241.0002982
143,LOW,19.9,2,3.84,50.6241748,194.1943345
144,LOW,13.8,3,3.03,77.1463288,233.6762299
146,LOW,17.5,3,3.43,68.7045736,235.5879829
148,LOW,19.8,3,3.40,71.704522,243.9387838
149,LOW,20.5,2,3.71,62.4642688,231.4301159
150,LOW,16.2,2,3.77,41.2740208,155.6443324
151,LOW,20.5,3,3.54,59.7562444,211.7761302
152,LOW,17.9,3,3.03,69.1768036,209.2598309
153,LOW,19.1,3,3.32,61.7730958,204.9013588
154,LOW,15.3,2,3.77,47.182906,177.7380069
156,LOW,22.4,2,3.85,63.5014576,244.3536088
157,LOW,27.1,2,3.68,53.210278,195.6009819
158,LOW,12.1,2,3.07,71.0330968,218.2136734
159,LOW,21.7,2,3.78,42.5052532,160.7973729
161,LOW,24,3,3.19,62.4041668,198.8820796
139a,LOW,18.9,3,3.43,74.2227958,254.2872984
139b,LOW,23.3,2,3.48,65.7509896,228.9449458
301,HIGH,17,1,3.33,98.1528364,326.6526395
302,HIGH,31.8,1,3.53,67.1642452,237.1569498
303,HIGH,23.1,1,3.66,82.3872232,301.6196241
304,HIGH,18.9,1,3.27,85.6928332,279.8727932
305,HIGH,12.9,1,3.38,95.1717772,321.4902634
308,HIGH,28.2,2,3.86,59.426542,229.3270256
309,HIGH,23.5,1,3.69,76.6311688,282.9989064
310,HIGH,23.3,1,3.47,66.067813,229.5195824
311,HIGH,15.8,1,3.52,83.0741032,292.2546951
312,HIGH,18.6,1,3.74,81.9579232,306.6865486
313,HIGH,24.3,1,3.48,67.7480932,235.6956162
314,HIGH,22.3,1,3.20,71.30098,228.234437
315,HIGH,19.1,1,3.73,58.1832892,217.2564019
316,HIGH,23.8,1,3.89,62.9279128,244.9783645
317,HIGH,23.8,1,3.57,70.760062,252.5426613
320,HIGH,14.1,1,2.74,96.0046192,262.5726335
321,HIGH,16.7,2,3.18,82.5349024,262.4609896
322,HIGH,22.9,2,3.49,73.8441532,257.4945622
323,HIGH,19.4,2,3.76,81.7810516,307.1696298
325,HIGH,15.5,2,3.49,71.0434,247.8704226
326,HIGH,17.7,2,3.40,67.5454636,229.3168489
327,HIGH,18.7,2,3.33,69.2300368,230.3975625
328,HIGH,12.7,2,3.79,74.8006336,283.4944013
329,HIGH,19.8,2,3.64,67.1745484,244.5153562
331,HIGH,17.5,2,3.44,54.7420204,188.3125502
333,HIGH,13.8,2,3.97,80.3454724,319.1322164
334,HIGH,24.5,2,3.49,61.8495112,215.9784931
335,HIGH,19.5,3,2.58,77.2579468,199.016471
336,HIGH,17.9,2,3.18,66.780451,212.2282733
337,HIGH,12.3,2,3.53,69.858532,246.4609009
338,HIGH,22.4,3,3.27,81.7655968,267.4552671
339,HIGH,20.9,2,3.12,68.321638,213.4367971
340,HIGH,15.2,3,2.54,73.696474,187.1153475
341,HIGH,21.2,3,3.71,67.7532448,251.6355512
342,HIGH,27.3,3,3.66,46.865224,171.3392589
343,HIGH,15.3,3,3.72,77.8666942,289.508369
344,HIGH,16.1,3,3.76,75.2659948,283.0001404
345,HIGH,17.1,3,3.23,88.7880862,286.4303661
346,HIGH,14,3,2.22,73.5256126,162.8592319
347,HIGH,17.4,3,3.21,82.4902552,264.9586997
348,HIGH,14.4,3,2.84,83.2157722,236.4160088
349,HIGH,19.6,3,3.09,68.0563306,210.5662869
350,HIGH,16.4,3,3.65,83.8674496,306.2839259
351,HIGH,19.5,3,3.69,73.593442,271.2654272
352,HIGH,22.7,2,3.69,71.5860352,264.0808839
353,HIGH,21.2,3,3.33,69.8267638,232.7326037