Larval_ID,Mass,Start_Date,Food_Before,Food_After,Food_Change,Consumption_per_mass,Extraction_Date,Reading1,Reading2,Reading3,Avg_Reading,Conversion_ug/ml,Total_Melanin,Wire_Length,Concentration,Notes
T101,3.8906,5/27/23,,,,,8/21/23,0.4180,0.4312,0.3814,0.4102,98.9994,11.8799,0.296,40.13489838,Not enough initial food
T102,4.0911,5/27/23,,,,,8/20/23,0.2663,0.2649,0.2418,0.2577,59.7099,7.1652,0.253,28.3208917,Not enough initial food
T103,4.5278,5/27/23,,,,,8/21/23,0.1787,0.1929,0.1727,0.1814,40.0737,4.8088,0.228,21.09142,Not enough initial food
T104,3.6911,5/27/23,,,,,,,,,,,,,,"Not enough initial food, sample lost in water bath"
T106,4.2297,5/28/23,4.2417,1.4592,2.7825,0.657848074,8/15/23,0.4279,0.4774,0.4235,0.4429,107.4309,12.8917,0.358,36.01034682,
T107,5.2291,5/28/23,,,,,8/24/23,0.2655,0.2637,0.2383,0.2558,59.2377,7.1085,0.404,17.59534158,Not enough initial food
T108,3.2262,5/28/23,4.2238,1.987,2.2368,0.693323415,8/25/23,0.9343,1.0469,1.2002,1.0605,266.4951,31.9794,0.308,103.8292613,
T109,4.8281,5/28/23,,,,,8/25/23,0.2273,0.2321,0.2209,0.2268,51.7507,6.2101,0.35,17.74308274,Not enough initial food
T113,3.1232,5/29/23,6.1343,3.3392,2.7951,0.89494749,8/24/23,0.7644,0.7787,0.7865,0.7765,193.3596,23.2031,0.276,84.06937217,
T114,4.1927,5/29/23,5.6255,3.3529,2.2726,0.542037351,8/15/23,0.1958,0.1935,0.1747,0.1880,41.7651,5.0118,0.316,15.86017975,
T115,4.5116,5/29/23,6.2711,0.943,5.3281,1.180977924,8/21/23,0.5026,0.5310,0.4623,0.4986,121.7781,14.6134,0.312,46.83772077,
T116,4.2079,5/28/23,,,,,8/25/23,0.2226,0.2142,0.2005,0.2124,48.0587,5.7670,0.327,17.63621211,Not enough initial food
T117,3.7912,5/29/23,5.402,1.9148,3.4872,0.919814307,8/14/23,0.1581,0.1585,0.1523,0.1563,33.5999,4.0320,0.295,13.66773722,
T122,4.739,5/29/23,5.9897,2.6391,3.3506,0.707026799,8/18/23,0.1646,0.1835,0.1665,0.1715,37.5237,4.5028,0.29,15.52703007,
T123,4.5163,5/29/23,5.0658,1.3839,3.6819,0.815246994,8/16/23,0.1285,0.1206,0.1234,0.1242,25.3230,3.0388,0.156,19.47919231,
T124,4.9563,5/29/23,5.353,0.5907,4.7623,0.960857898,8/20/23,0.1811,0.1729,0.1653,0.1731,37.9272,4.5513,0.333,13.66745874,
T126,4.5527,5/29/23,5.135,1.4689,3.6661,0.805258418,8/20/23,0.1344,0.1354,0.1377,0.1358,28.3281,3.3994,0.257,13.22710506,
T127,3.962,5/29/23,5.2824,1.934,3.3484,0.845128723,8/21/23,0.1995,0.2018,0.1849,0.1954,43.6712,5.2405,0.264,19.85056,
T128,5.1383,5/29/23,6.1879,1.1397,5.0482,0.982465018,,,,,,,,,,Sample lost in water bath
T130,4.1508,5/29/23,5.2454,1.0369,4.2085,1.013900935,8/25/23,0.1808,0.2028,0.1980,0.1939,43.2763,5.1932,0.307,16.91580821,
T132,4.7058,5/30/23,5.6821,0.1615,5.5206,1.17314803,8/21/23,0.4766,0.4612,0.4120,0.4499,109.2339,13.1081,0.302,43.4042098,20 min late! Exclude?
T135,3.3576,5/30/23,4.7534,1.0401,3.7133,1.105938766,8/25/23,0.1338,0.1313,0.1321,0.1324,27.4437,3.2932,0.242,13.60844231,20 min late! Exclude?
T136,4.8606,5/30/23,,,,,8/24/23,0.2079,0.2089,0.1868,0.2012,45.1652,5.4198,0.27,20.07342044,20 min late! Exclude? Not enough initial food
T139,4.8158,5/29/23,,,,,8/18/23,0.1201,0.1244,0.1248,0.1231,25.0482,3.0058,0.334,8.999352575,Not enough initial food
T140,3.8261,5/30/23,5.212,1.5085,3.7035,0.967956927,8/16/23,0.1370,0.1268,0.1278,0.1305,26.9629,3.2355,0.205,15.78314693,20 min late! Exclude?
T145,4.349,5/30/23,5.1493,0.2047,4.9446,1.136951023,8/25/23,0.1131,0.1146,0.1146,0.1141,22.7300,2.7276,0.307,8.884681954,20 min late! Exclude?
T146,4.6328,5/30/23,5.056,0.3395,4.7165,1.018066828,8/25/23,0.2286,0.2114,0.2102,0.2167,49.1663,5.9000,0.28,21.07125943,10 min late
T147,5.064,5/30/23,6.1793,1.6764,4.5029,0.889198262,8/16/23,0.3993,0.3735,0.3351,0.3693,88.4644,10.6157,0.296,35.86394351,10 min late
T148,4.2738,5/30/23,4.9651,0.3712,4.5939,1.074898217,,,,,,,,,,"10 min late, sample lost in water bath"
T149,4.6335,5/30/23,5.823,0.9378,4.8852,1.054321787,8/18/23,0.1656,0.1650,0.1629,0.1645,35.7120,4.2854,0.251,17.07347092,10 min late
T151,5,5/31/23,7.7751,3.3217,4.4534,0.933665982,8/24/23,0.1598,0.1576,0.1518,0.1564,33.6256,4.0351,0.256,15.76200563,
T152,4.927,5/31/23,7.4559,3.1461,4.3098,0.874731074,8/14/23,0.1584,0.1574,0.1622,0.1593,34.3812,4.1257,0.274,15.05745109,
T153,4.9469,5/31/23,7.6236,2.5387,5.0849,1.027896258,8/24/23,0.1109,0.1045,0.1021,0.1058,20.6007,2.4721,0.288,8.583604167,
T156,6.2471,6/1/23,7.2961,0.6417,6.6544,1.065198252,8/24/23,0.1398,0.1420,0.1506,0.1441,30.4660,3.6559,0.307,11.90852013,
T158,3.9023,6/2/23,5.4877,2.0106,3.4771,0.891038618,8/18/23,0.1261,0.1252,0.1259,0.1257,25.7265,3.0872,0.236,13.08126712,
T159,5.6706,6/2/23,6.1531,0.8994,5.2537,0.926480443,8/18/23,0.1643,0.1654,0.1576,0.1624,35.1797,4.2216,0.254,16.62032031,
T161,4.7075,6/3/23,6.8599,4.0688,2.7911,0.592904939,8/24/23,0.1400,0.1421,0.1319,0.1380,28.8861,3.4663,0.186,18.63621935,
T164,4.0637,6/3/23,6.5666,2.2311,4.3355,1.066884859,,,,,,,,0.25,,Bad extraction
T167,4.7355,6/4/23,5.5571,1.08,4.4771,0.945433428,8/18/23,0.1611,0.1665,0.1624,0.1633,35.4115,4.2494,0.252,16.86261905,
T168,4.497,6/4/23,5.5139,1.4715,4.0424,0.898910385,,,,,,,,0.295,,Bad extraction
T201,4.8705,5/28/23,4.1317,0.2792,3.8525,0.790986552,8/20/23,0.4758,0.4217,0.4058,0.4344,105.2414,12.6290,0.278,45.42795885,
T202,3.8369,5/29/23,5.8392,1.7704,4.0688,1.060439417,8/16/23,0.2825,0.2955,0.2877,0.2886,67.6691,8.1203,0.26,31.23189323,
T203,4.7024,5/29/23,5.4991,1.1602,4.3389,0.922699047,8/18/23,1.0673,1.0684,0.9770,1.0376,260.5965,31.2716,0.287,108.9602183,
T204,4.5514,5/29/23,5.889,2.646,3.243,0.712528013,8/16/23,0.1394,0.1366,0.1292,0.1351,28.1306,3.3757,0.257,13.13489743,
T205,3.9226,5/29/23,5.181,0.4257,4.7553,1.21228267,8/15/23,0.2162,0.2115,0.1928,0.2068,46.6162,5.5939,0.2,27.969738,
T206,4.6576,5/28/23,,,,,8/18/23,0.3122,0.3356,0.3327,0.3268,77.5258,9.3031,0.361,25.770359,Not enough initial food
T207,5.0607,5/29/23,6.0852,2.4315,3.6537,0.721975221,8/15/23,0.3295,0.3150,0.3043,0.3163,74.8041,8.9765,0.32,28.0515255,
T208,5.626,5/29/23,6.4082,1.0603,5.3479,0.950568788,8/18/23,0.4800,0.5205,0.5068,0.5024,122.7569,14.7308,0.371,39.70572873,
T214,4.3853,5/29/23,5.3761,2.1253,3.2508,0.74129478,8/18/23,1.5548,1.3947,1.4325,1.4607,369.5786,44.3494,0.312,142.1456231,
T215,5.4336,5/29/23,6.9756,1.8832,5.0924,0.937205536,8/18/23,0.4217,0.4349,0.4203,0.4256,102.9747,12.3570,0.343,36.02614601,
T217,3.6,5/29/23,4.9362,0.9721,3.9641,1.101138889,,,,,,,,,,
T218,3.6752,5/30/23,5.0911,1.1236,3.9675,1.079533087,8/16/23,0.4572,0.4854,0.4254,0.4560,110.7966,13.2956,0.242,54.94045289,
T219,3.9705,5/30/23,5.775,1.8892,3.8858,0.978667674,8/20/23,0.4127,0.4337,0.3553,0.4006,96.5181,11.5822,,,lost wire
T221,3.5583,5/29/23,5.571,1.7132,3.8578,1.084169407,8/20/23,0.2767,0.2909,0.2863,0.2846,66.6560,7.9987,0.284,28.16448761,
T226,2.7986,5/30/23,4.717,2.3327,2.3843,0.851961695,8/18/23,0.2422,0.2458,0.2417,0.2432,55.9921,6.7191,0.274,24.52210599,
T227,2.8,5/30/23,4.6061,1.8532,2.7529,0.983178571,8/15/23,0.2253,0.2111,0.2078,0.2147,48.6511,5.8381,0.24,24.325556,
T228,3.3738,5/30/23,4.8883,1.502,3.3863,1.003705021,8/21/23,0.1820,0.1815,0.1724,0.1786,39.3525,4.7223,0.309,15.28251417,
T233,3.4275,5/30/23,4.7073,1.0544,3.6529,1.065762217,8/21/23,0.5550,0.5085,0.4702,0.5112,125.0236,15.0028,0.295,50.85705031,
T234,3.2063,5/30/23,4.5478,2.3996,2.1482,0.66999345,8/21/23,0.2634,0.2725,0.2696,0.2685,62.5003,7.5000,0.331,22.65872991,
T235,4.4806,5/30/23,5.343,0.7915,4.5515,1.015823774,8/21/23,0.4777,0.4722,0.4471,0.4657,113.2865,13.5944,0.324,41.95797037,
T239,5.7507,5/31/23,6.377,2.3693,4.0077,0.696906464,8/21/23,1.1664,1.0904,1.0148,1.0905,274.2397,32.9088,0.278,118.3768386,
T240,6.3817,5/31/23,7.7192,1.8074,5.9118,0.926367582,8/21/23,0.3163,0.3244,0.3030,0.3146,74.3662,8.9239,0.258,34.58892186,
T241,4.0675,5/31/23,5.8312,1.9523,3.8789,0.953632452,8/14/23,0.3627,0.3519,0.3390,0.3512,83.8022,10.0563,0.311,32.33525248,
T242,4.6601,5/31/23,6.3867,2.0401,4.3466,0.932726766,8/24/23,0.4276,0.4640,0.3910,0.4275,103.4641,12.4157,0.248,50.06329161,
T243,4.6058,5/31/23,6.6508,1.9324,4.7184,1.024447436,8/25/23,0.2833,0.2761,0.2619,0.2738,63.8569,7.6628,0.196,39.09607224,
T244,5.0899,5/31/23,6.2746,1.6416,4.633,0.910233993,8/24/23,0.2999,0.3025,0.2802,0.2942,69.1201,8.2944,0.218,38.04778128,
T248,4.8329,5/31/23,5.4158,2.7293,2.6865,0.555877423,,,,,,,,,,lots of hemolymph after- wire may have poked out
T249,2.0309,5/31/23,4.8308,2.7899,2.0409,1.004923925,8/14/23,0.1332,0.1377,0.1533,0.1414,29.7619,3.5714,0.162,22.04586074,
T250,4.1608,5/31/23,5.4011,3.8024,,,8/24/23,2.5686,1.0398,2.5230,2.0438,519.7821,62.3739,0.275,226.814009,internal bleeding after? Exclude
T251,4.4619,5/31/23,6.3876,2.1904,4.1972,0.940675497,8/25/23,0.3653,0.3219,0.3177,0.3350,79.6208,9.5545,0.261,36.6072708,
T252,4.2154,6/2/23,5.3033,1.7006,3.6027,0.85465199,8/24/23,0.4039,0.4210,0.3968,0.4072,98.2353,11.7882,0.24,49.117631,
T253,4.9759,6/2/23,5.74,0.0734,5.6666,1.13880906,8/25/23,0.2418,0.2371,0.2219,0.2336,53.5108,6.4213,0.305,21.05342479,
T254,4.6029,6/1/23,5.1343,0.8001,4.3342,0.941623759,8/25/23,0.2809,0.2838,0.2610,0.2752,64.2347,7.7082,0.313,24.62672281,
T255,5.1426,6/2/23,6.9228,4.6474,,,8/25/23,1.9348,1.9995,1.5987,1.8443,468.4035,,0.239,,"lots of hemolymph in cup, internal bleeding? Exclude"
T256,3.5258,6/2/23,5.0629,2.461,2.6019,0.737960179,8/24/23,0.3891,0.3885,0.3479,0.3752,89.9755,10.7971,0.265,40.74363623,
T257,3.677,6/2/23,4.969,1.3451,3.6239,0.98555888,8/24/23,0.4173,0.4029,0.3469,0.3890,93.5473,11.2257,0.244,46.0068718,trouble piercing- poked twice
T263,3.5666,6/4/23,4.9279,2.3905,2.5374,0.711433859,,,,,,,,,,Bad extraction
T265,3.2787,6/5/23,4.7939,1.3642,3.4297,1.046054839,,,,,,,,,,Bad extraction
T266,5.2573,6/5/23,6.4028,1.7611,4.6417,0.882905674,8/15/23,0.2334,0.2606,0.2423,0.2454,56.5588,6.7871,0.248,27.36717,
T301,3.8468,5/27/23,,,,,8/21/23,0.1222,0.1232,0.1210,0.1221,24.7992,2.9759,0.226,13.16771894,Not enough initial food
T302,4.4296,5/27/23,,,,,8/21/23,0.1633,0.1705,0.1552,0.1630,35.3256,4.2391,0.254,16.68927874,Not enough initial food
T303,3.7112,5/27/23,,,,,8/18/23,0.1225,0.1271,0.1298,0.1265,25.9154,3.1098,0.249,12.48934169,"Trouble piercing- back right proleg, Not enough initial food"
T304,3.916,5/27/23,,,,,8/21/23,0.1799,0.1814,0.1774,0.1796,39.5929,4.7511,0.29,16.38326152,Not enough initial food
T305,2.7679,5/27/23,,,,,8/14/23,0.1682,0.1764,0.1691,0.1712,37.4464,4.4936,0.276,16.28103565,Not enough initial food
T308,3.8598,5/28/23,4.6252,1.4728,3.1524,0.816726255,8/18/23,0.2021,0.2076,0.1909,0.2002,44.9076,5.3889,0.281,19.17762961,
T309,3.9213,5/28/23,,,,,8/21/23,0.2837,0.2791,0.2546,0.2725,63.5221,7.6226,0.28,27.22374171,Not enough initial food
T310,3.8145,5/28/23,4.3363,0.5602,3.7761,0.98993315,8/20/23,0.1326,0.1346,0.1318,0.1330,27.5982,3.3118,0.274,12.08682044,
T311,3.7926,5/28/23,,,,,8/15/23,0.1580,0.1478,0.1482,0.1513,32.3205,3.8785,0.26,14.91717231,Not enough initial food
T314,3.4472,5/29/23,5.5569,2.6336,2.9233,0.848021583,8/15/23,0.4581,0.4279,0.3733,0.4198,101.4636,12.1756,0.262,46.47187695,
T315,3.0808,5/28/23,4.0089,0.5498,3.4591,1.122792781,8/14/23,0.2961,0.2923,0.3055,0.2980,70.0904,8.4108,0.342,24.59310667,
T316,3.0662,5/29/23,4.8936,1.7837,3.1099,1.014252169,8/18/23,0.2056,0.2084,0.2005,0.2048,46.1011,5.5321,0.264,20.95503182,
T317,3.4474,5/29/23,5.2817,2.0919,3.1898,0.92527702,8/16/23,0.1743,0.1766,0.1780,0.1763,38.7515,4.6502,0.266,17.48185895,
T321,4.1331,5/29/23,6.4002,0.9116,5.4886,1.327962062,8/16/23,0.1268,0.1302,0.1293,0.1288,26.5078,3.1809,0.302,10.53290781,
T322,3.2788,5/29/23,5.4752,2.1515,3.3237,1.013694034,8/20/23,0.1312,0.1334,0.1274,0.1307,26.9972,3.2397,0.146,22.18949589,
T323,2.3025,5/29/23,4.8915,2.3827,2.5088,1.089598263,8/15/23,0.1522,0.1584,0.1516,0.1541,33.0246,3.9630,0.25,15.85180416,
T324,2.1963,5/29/23,4.8741,2.3151,2.559,1.165141374,8/18/23,0.2702,0.2603,0.2640,0.2648,61.5559,7.3867,0.279,26.47564301,
T328,3.6625,5/30/23,4.5534,1.6102,2.9432,0.803604096,8/24/23,0.1351,0.1341,0.1242,0.1311,27.1174,3.2541,0.202,16.10936079,
T329,4.0427,5/29/23,5.2373,1.2362,4.0011,0.989709847,8/15/23,0.1466,0.1449,0.1444,0.1453,30.7665,3.6920,0.311,11.8713083,
T333,4.0497,5/29/23,4.8201,0.01,4.8101,1.187766995,8/16/23,0.2047,0.2100,0.2028,0.2058,46.3587,5.5630,0.297,18.73076768,
T334,3.4347,5/30/23,4.9575,1.4083,3.5492,1.033336245,8/24/23,0.2295,0.2335,0.2112,0.2247,51.2269,6.1472,0.307,20.02354866,
T335,2.7368,5/30/23,4.2152,1.9569,2.2583,0.825160772,8/24/23,0.1593,0.1613,0.1628,0.1611,34.8448,4.1814,0.286,14.62020587,
T338,3.4078,5/30/23,4.4894,0.7057,3.7837,1.110305769,8/24/23,0.1121,0.1122,0.1104,0.1116,22.0774,2.6493,0.3,8.8309768,
T340,3.2863,5/30/23,4.4731,0.717,3.7561,1.142957125,8/21/23,0.1937,0.1885,0.1982,0.1935,43.1732,5.1808,0.283,18.3066759,
T341,3.5404,5/30/23,4.9416,0.8218,4.1198,1.163653824,8/24/23,0.1490,0.1523,0.1386,0.1466,31.1099,3.7332,0.275,13.5752352,
T343,3.5622,5/30/23,5.0077,1.7118,3.2959,0.925242827,8/20/23,0.2300,0.2247,0.2210,0.2252,51.3557,6.1627,0.287,21.47276739,
T344,1.8763,5/30/23,4.3245,1.9025,2.422,1.290838352,8/21/23,0.2056,0.2077,0.1833,0.1989,44.5642,5.3477,0.145,36.88069738,
T347,4.7841,5/31/23,5.9853,0.6612,5.3241,1.112873895,8/25/23,0.2573,0.2438,0.2287,0.2433,56.0007,6.7201,0.299,22.47520856,
T351,3.0003,5/31/23,5.2187,2.8474,2.3713,0.790354298,,,,,,,,,,
T352,3.6248,5/31/23,5.6851,1.7036,3.9815,1.098405429,8/25/23,0.1493,0.1503,0.1379,0.1458,30.9039,3.7085,0.294,12.61381633,
T353,2.7628,5/31/23,4.8645,1.7079,3.1566,1.142536557,8/24/23,0.1556,0.1607,0.1491,0.1551,33.2993,3.9959,0.241,16.58058622,
T354,2.9259,5/31/23,5.0068,1.9906,3.0162,1.030862299,8/25/23,0.2825,0.2774,0.2530,0.2710,63.1357,7.5763,0.261,29.02790529,
T355,3.1074,5/31/23,5.5158,2.5415,2.9743,0.957166763,8/24/23,0.1823,0.1792,0.1622,0.1746,38.3050,4.5966,0.283,16.24239519,
T358,4.1088,6/1/23,5.5581,1.1383,4.4198,1.075691199,8/25/23,0.1550,0.1581,0.1519,0.1550,33.2650,3.9918,0.217,18.39539171,
T359,2.6045,6/1/23,4.6261,1.5093,3.1168,1.196698023,8/25/23,0.1507,0.1421,0.1380,0.1436,30.3286,3.6394,0.215,16.927584,
T361,3.8495,6/1/23,5.1441,0.6233,4.5208,1.174386284,8/25/23,0.1691,0.1719,0.1581,0.1664,36.1928,4.3431,0.292,14.87376411,
T362,2.2494,6/1/23,4.8388,2.802,2.0368,0.905485907,8/18/23,0.1464,0.1435,0.1476,0.1458,30.9039,3.7085,0.264,14.04720455,
T363,4.7763,6/2/23,5.8647,0.4848,5.3799,1.126373971,,,,,,,,,,Bad extraction
T366,4.4245,6/2/23,5.3781,0.2571,5.121,1.157418917,,,,,,,,,,Bad extraction
T367,2.8349,6/2/23,4.877,1.4946,3.3824,1.193128505,8/25/23,0.1869,0.1862,0.1730,0.1820,40.2282,4.8274,0.228,21.17276105,
T369,3.155,6/2/23,5.2897,2.5373,2.7524,0.872393027,8/18/23,0.2145,0.2184,0.2147,0.2159,48.9430,5.8732,0.243,24.16940049,
T401,3.131,5/28/23,4.0038,0.5666,3.4372,1.097796231,8/25/23,0.2536,0.2577,0.2391,0.2501,57.7694,6.9323,0.352,19.69412864,
T402,4.4095,5/28/23,4.3631,1.6619,2.7012,0.612586461,8/16/23,0.2513,0.2566,0.2449,0.2509,57.9755,6.9571,0.331,21.01831106,
T403,4.3646,5/28/23,4.4535,1.6228,2.8307,0.64855886,Aug-23,0.5787,0.6018,0.5235,0.5680,139.6455,16.7575,0.258,64.95141395,
T405,2.5467,5/28/23,3.9912,0.6753,3.3159,1.302037931,8/24/23,0.4944,0.5193,0.4234,0.4790,116.7295,14.0075,0.267,52.46269933,
T406,3.2523,5/28/23,4.8034,1.6964,3.107,0.955323925,8/20/23,0.2797,0.2846,0.2724,0.2789,65.1792,7.8215,0.262,29.8530513,
T407,3.5402,5/28/23,4.4216,0.9158,3.5058,0.990283035,,,,,,,,,,Sample lost in water bath
T408,3.6381,5/28/23,3.9563,0.0748,3.8815,1.066903054,8/15/23,0.2504,0.2434,0.2271,0.2403,55.2366,6.6284,0.329,20.14707866,
T409,4.3082,5/29/23,5.7299,2.476,3.2539,0.755280628,8/15/23,0.1045,0.1042,0.1074,0.1054,20.4804,2.4577,0.313,7.851928179,
T410,3.764,5/29/23,5.9993,5.4155,,,8/25/23,1.2690,1.3668,1.2506,1.2955,327.0264,39.2432,0.301,130.375975,didn't really eat- exclude from eating
T411,2.1209,5/29/23,4.8079,3.0372,1.7707,0.834881418,,,,,,,,,,
T414,3.3665,5/29/23,5.0215,1.067,3.9545,1.174662112,8/16/23,0.2343,0.2314,0.2091,0.2249,51.2784,6.1534,,,Wire not in tube
T415,2.8742,5/29/23,5.314,3.099,2.215,0.770649224,8/20/23,0.2179,0.2212,0.2250,0.2214,50.3597,6.0432,0.315,19.18465752,
T416,3.1821,5/29/23,4.8126,1.2318,3.5808,1.125294617,8/16/23,0.3481,0.3602,0.3222,0.3435,81.8188,9.8183,0.178,55.1587618,
T417,4.7998,5/30/23,6.1186,3.3293,2.7893,0.58112838,8/25/23,0.2126,0.2053,0.2087,0.2089,47.1400,5.6568,0.327,17.29907376,
T418,4.1093,5/30/23,5.3706,0.3044,5.0662,1.232862045,8/25/23,0.2788,0.2727,0.2543,0.2686,62.5261,7.5031,0.317,23.66918158,
T419,2.7707,5/30/23,4.5294,0.7172,3.8122,1.375897788,8/24/23,0.3581,0.3660,0.3214,0.3485,83.1067,9.9728,0.321,31.06793645,
T420,3.6143,5/30/23,4.7364,0.9327,3.8037,1.052402955,8/24/23,0.2326,0.2301,0.2254,0.2294,52.4204,6.2904,0.361,17.42505241,
T424,3.728,5/30/23,4.4304,0.2968,4.1336,1.108798283,8/25/23,0.1702,0.1708,0.1705,0.1705,37.2575,4.4709,0.248,18.02781774,
T425,2.2548,5/30/23,4.5972,1.6744,2.9228,1.296256874,8/24/23,0.2648,0.2390,0.2176,0.2405,55.2795,6.6335,0.165,40.20327564,
T436,2.7635,5/30/23,4.7389,2.1545,2.5844,0.935190881,8/24/23,0.1518,0.1465,0.1495,0.1493,31.7882,3.8146,0.295,12.93079647,
T437,3.2273,5/30/23,4.1965,1.0627,3.1338,0.971028414,8/25/23,0.2216,0.2112,0.1890,0.2073,46.7278,5.6073,0.241,23.26697826,
T439,4.9126,5/31/23,5.8466,1.1611,4.6855,0.953771933,8/24/23,0.2592,0.2701,0.2573,0.2622,60.8776,7.3053,0.261,27.98969011,
T440,2.9759,5/31/23,4.968,1.3299,3.6381,1.222520918,8/21/23,0.1853,0.1873,0.1721,0.1816,40.1080,4.8130,0.214,22.49049084,
T441,4.0075,5/31/23,5.381,1.4136,3.9674,0.989993762,8/24/23,0.6344,0.6026,0.5170,0.5847,143.9385,17.2726,0.247,69.92965506,
T442,5.4675,5/31/23,6.0297,2.0735,3.9562,0.723584819,,,,,,,,,,
T443,4.7074,5/31/23,5.5258,1.1303,4.3955,0.933742618,8/21/23,0.2573,0.2934,0.2635,0.2714,63.2473,7.5897,0.334,22.72358515,
T444,3.6485,5/31/23,5.7807,2.1998,3.5809,0.981471838,8/18/23,0.4123,0.4239,0.4029,0.4130,99.7292,11.9675,0.291,41.12545402,
T445,4.3138,5/31/23,5.2402,0.3186,4.9216,1.140896657,8/21/23,0.3141,0.3380,0.3078,0.3200,75.7571,9.0909,0.279,32.58370495,
T446,3.3167,5/31/23,5.6707,2.0806,3.5901,1.082431332,8/18/23,0.4851,0.5124,0.4431,0.4802,117.0300,14.0436,0.273,51.44176527,
T447,3.7837,5/31/23,5.1599,1.5319,3.628,0.958849803,8/21/23,0.1684,0.1814,0.1690,0.1729,37.8843,4.5461,0.245,18.55555984,
T452,3.9335,6/1/23,4.3826,0.8232,3.5594,0.90489386,8/21/23,0.6995,0.6889,0.6232,0.6705,166.0561,19.9267,0.332,60.02026843,
T453,4.7226,6/1/23,5.7763,1.6744,4.1019,0.868568162,8/18/23,0.2063,0.2108,0.1897,0.2023,45.4399,5.4528,0.319,17.09339737,
T454,2.895,6/1/23,4.2021,0.8305,3.3716,1.16462867,8/21/23,0.1596,0.1629,0.1650,0.1625,35.1969,4.2236,0.267,15.81880899,
T457,3.045,6/1/23,4.9218,1.9111,3.0107,0.988735632,8/14/23,0.2422,0.2433,0.2490,0.2448,56.4043,6.7685,0.289,23.42045813,
T458,1.7827,6/1/23,4.1133,2.003,2.1103,1.183766197,8/18/23,0.2058,0.2260,0.2052,0.2123,48.0329,5.7640,0.283,20.3673159,
T459,4.4387,6/2/23,5.3257,2.0921,3.2336,0.728501588,8/15/23,0.2197,0.2041,0.1912,0.2050,46.1440,5.5373,0.252,21.97333333,
T460,2.7383,6/2/23,4.7653,1.0861,3.6792,1.343607348,,,,,,,,,,Bad extraction
T461,3.9721,6/2/23,5.049,2.3649,2.6841,0.675738274,,,,,,,,,,Bad extraction
T462,4.4536,6/2/23,5.0615,2.7373,2.3242,0.521869948,8/18/23,0.1532,0.1545,0.1428,0.1502,32.0200,3.8424,0.241,15.9435834,
T466,2.8031,6/2/23,4.6254,0.8725,3.7529,1.338839142,8/18/23,0.1892,0.1901,0.1669,0.1821,40.2368,4.8284,0.24,20.118416,
T469,2.6036,6/2/23,4.9926,2.2758,2.7168,1.043478261,8/14/23,0.2307,0.2103,0.2290,0.2233,50.8663,6.1040,0.207,29.48771014,